[2022-01-29 18:32:40.117] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/ini/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/ini/package.json'
[2022-01-29 18:32:40.117] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/python/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/python/package.json'
[2022-01-29 18:32:40.117] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/csharp/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/csharp/package.json'
[2022-01-29 18:32:40.117] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/lua/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/lua/package.json'
[2022-01-29 18:32:40.117] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/fsharp/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/fsharp/package.json'
[2022-01-29 18:32:40.118] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/hlsl/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/hlsl/package.json'
[2022-01-29 18:32:40.118] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/merge-conflict/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/merge-conflict/package.json'
[2022-01-29 18:32:40.118] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/typescript-basics/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/typescript-basics/package.json'
[2022-01-29 18:32:40.118] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/typescript-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/typescript-language-features/package.json'
[2022-01-29 18:32:40.118] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/css-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/css-language-features/package.json'
[2022-01-29 18:32:43.333] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/debug-auto-launch/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/debug-auto-launch/package.json'
[2022-01-29 18:37:35.118] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/npm/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/npm/package.json'
[2022-01-29 18:37:35.119] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/json/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/json/package.json'
[2022-01-29 18:37:35.119] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/json-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/json-language-features/package.json'
[2022-01-29 18:37:35.120] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/html-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/html-language-features/package.json'
[2022-01-29 18:37:35.120] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/cpp/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/cpp/package.json'
[2022-01-29 18:37:35.120] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/css/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/css/package.json'
[2022-01-29 18:37:35.120] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/html/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/html/package.json'
[2022-01-29 18:37:35.120] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/yaml/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/yaml/package.json'
[2022-01-29 18:37:35.120] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/markdown-basics/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/markdown-basics/package.json'
[2022-01-29 18:37:35.120] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/docker/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/docker/package.json'
[2022-01-29 18:37:35.121] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/java/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/java/package.json'
[2022-01-29 18:37:35.121] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/javascript/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/javascript/package.json'
[2022-01-29 18:37:35.121] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/log/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/log/package.json'
[2022-01-29 18:37:35.121] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/configuration-editing/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/configuration-editing/package.json'
[2022-01-29 18:37:35.121] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/debug-auto-launch/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/debug-auto-launch/package.json'
[2022-01-29 18:37:35.121] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/make/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/make/package.json'
[2022-01-29 18:37:35.121] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/handlebars/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/handlebars/package.json'
[2022-01-29 18:37:35.122] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/less/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/less/package.json'
[2022-01-29 18:37:35.122] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/go/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/go/package.json'
[2022-01-29 18:37:35.122] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/bat/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/bat/package.json'
[2022-01-29 18:37:35.122] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/clojure/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/clojure/package.json'
